rcid,org_uuid,name,cb_url,homepage_url,short_description,category_list,category_groups_list,created_date,founded_date,description
1001,00000000-0000-4000-8000-000000000001,Northbridge Labs,https://www.example.com/organization/northbridge-labs,https://northbridge.example,Fictional robotics studio used only as a schema sample.,"Robotics,Manufacturing","Hardware,Science and Engineering",01jan2024,01jan2022,Fictional company. Not a real Crunchbase record.
1002,00000000-0000-4000-8000-000000000002,Harborline Health,https://www.example.com/organization/harborline-health,https://harborline.example,Fictional clinic software vendor used only as a schema sample.,"Health Care,Software","Health Care,Software",15feb2024,01jun2021,Fictional company. Not a real Crunchbase record.
1003,00000000-0000-4000-8000-000000000003,Cedar & Pine Retail,https://www.example.com/organization/cedar-pine-retail,https://cedarpine.example,Fictional apparel brand used only as a schema sample.,"Fashion,Retail","Commerce and Shopping,Clothing and Apparel",03mar2024,01jan2020,Fictional company. Not a real Crunchbase record.
1004,00000000-0000-4000-8000-000000000004,Kitefield Analytics,https://www.example.com/organization/kitefield-analytics,https://kitefield.example,Fictional analytics consultancy used only as a schema sample.,"Analytics,Consulting","Data and Analytics,Professional Services",12apr2024,01sep2019,Fictional company. Not a real Crunchbase record.
1005,00000000-0000-4000-8000-000000000005,Solstice Freight,https://www.example.com/organization/solstice-freight,https://solsticefreight.example,Fictional logistics firm used only as a schema sample.,"Logistics,Transportation","Transportation",20may2024,01jan2018,Fictional company. Not a real Crunchbase record.
1006,00000000-0000-4000-8000-000000000006,Willowbank Foods,https://www.example.com/organization/willowbank-foods,https://willowbank.example,Fictional snack brand used only as a schema sample.,"Food and Beverage,Retail","Food and Beverage",08jun2024,01mar2021,Fictional company. Not a real Crunchbase record.
1007,00000000-0000-4000-8000-000000000007,Redline Security,https://www.example.com/organization/redline-security,https://redline.example,Fictional cybersecurity vendor used only as a schema sample.,"Cyber Security,Software","Privacy and Security,Software",19jul2024,01jan2017,Fictional company. Not a real Crunchbase record.
1008,00000000-0000-4000-8000-000000000008,Atlas Classroom,https://www.example.com/organization/atlas-classroom,https://atlasclassroom.example,Fictional edtech company used only as a schema sample.,"EdTech,Software","Education,Software",02aug2024,01aug2020,Fictional company. Not a real Crunchbase record.
1009,00000000-0000-4000-8000-000000000009,Mirelight Media,https://www.example.com/organization/mirelight-media,https://mirelight.example,Fictional video studio used only as a schema sample.,"Media,Video","Media and Entertainment",14sep2024,01jan2016,Fictional company. Not a real Crunchbase record.
1010,00000000-0000-4000-8000-00000000000a,Quarry Pay,https://www.example.com/organization/quarry-pay,https://quarrypay.example,Fictional payments startup used only as a schema sample.,"FinTech,Payments","Financial Services,Payments",25oct2024,01apr2022,Fictional company. Not a real Crunchbase record.
1011,00000000-0000-4000-8000-00000000000b,Nimbus Weather,https://www.example.com/organization/nimbus-weather,https://nimbus.example,Fictional climate-data startup used only as a schema sample.,"Climate Tech,Data","Science and Engineering,Sustainability",05nov2024,01jan2023,Fictional company. Not a real Crunchbase record.
1012,00000000-0000-4000-8000-00000000000c,Oakstreet Legal,https://www.example.com/organization/oakstreet-legal,https://oakstreet.example,Fictional legal-ops studio used only as a schema sample.,"Legal Tech,Software","Professional Services,Software",16dec2024,01may2019,Fictional company. Not a real Crunchbase record.
1013,00000000-0000-4000-8000-00000000000d,Brightwell Energy,https://www.example.com/organization/brightwell-energy,https://brightwell.example,Fictional energy-software vendor used only as a schema sample.,"Energy,Software","Energy,Software",07jan2025,01jan2021,Fictional company. Not a real Crunchbase record.
1014,00000000-0000-4000-8000-00000000000e,Paperkite Design,https://www.example.com/organization/paperkite-design,https://paperkite.example,Fictional design agency used only as a schema sample.,"Design,Marketing","Design,Sales and Marketing",18feb2025,01feb2018,Fictional company. Not a real Crunchbase record.
1015,00000000-0000-4000-8000-00000000000f,Copperline Farming,https://www.example.com/organization/copperline-farming,https://copperline.example,Fictional agtech company used only as a schema sample.,"Agriculture,Hardware","Agriculture and Farming,Hardware",01mar2025,01jul2020,Fictional company. Not a real Crunchbase record.
1016,00000000-0000-4000-8000-000000000010,Vesper Travel,https://www.example.com/organization/vesper-travel,https://vesper.example,Fictional travel marketplace used only as a schema sample.,"Travel,Marketplace","Travel and Tourism,Commerce and Shopping",12apr2025,01jan2019,Fictional company. Not a real Crunchbase record.
1017,00000000-0000-4000-8000-000000000011,Ironmill Games,https://www.example.com/organization/ironmill-games,https://ironmill.example,Fictional game studio used only as a schema sample.,"Gaming,Software","Gaming,Software",23may2025,01sep2015,Fictional company. Not a real Crunchbase record.
1018,00000000-0000-4000-8000-000000000012,Lumen Dental,https://www.example.com/organization/lumen-dental,https://lumendental.example,Fictional dental-clinic group used only as a schema sample.,"Health Care,Clinics","Health Care",04jun2025,01jan2014,Fictional company. Not a real Crunchbase record.
1019,00000000-0000-4000-8000-000000000013,Stackyard Storage,https://www.example.com/organization/stackyard-storage,https://stackyard.example,Fictional storage-software vendor used only as a schema sample.,"Cloud Storage,Software",Software,15jul2025,01mar2018,Fictional company. Not a real Crunchbase record.
1020,00000000-0000-4000-8000-000000000014,Faircurrent Civic,https://www.example.com/organization/faircurrent-civic,https://faircurrent.example,Fictional civic-tech nonprofit used only as a schema sample.,"CivicTech,Software","Government and Military,Software",26aug2025,01jan2022,Fictional company. Not a real Crunchbase record.
